id,time,latitude,longitude,mag,magType,nst
nn00843329,2022-07-21T16:29:20.591Z,38.5901,-119.4276,1.2,ml,11
nc73761311,2022-07-21T16:09:17.550Z,37.5309982,-118.9196701,1.02,md,8
hv73083292,2022-07-21T15:49:02.960Z,19.19149971,-155.3856659,2.2,ml,46
ak0229abrqr7,2022-07-21T15:47:29.470Z,59.8844,-152.4466,1.5,ml,
tx2022oeje,2022-07-21T14:41:00.256Z,31.66668085,-104.4029061,2.9,ml,11
us7000hsea,2022-07-21T14:32:29.518Z,-2.6876,128.5914,4.9,mww,87
ak0229ab31gb,2022-07-21T14:32:04.110Z,61.8834,-149.7179,1.4,ml,
uu60506612,2022-07-21T14:23:43.310Z,40.74,-112.0473333,0.63,md,11
nc73761301,2022-07-21T14:12:28.440Z,39.3213333,-123.2641667,1.32,md,6
nc73761296,2022-07-21T14:11:46.100Z,38.831501,-122.8099976,1.17,md,12
nc73761291,2022-07-21T14:06:29.330Z,35.8914986,-120.8604965,1.38,md,10
ak0229aamd07,2022-07-21T13:54:22.318Z,61.2834,-151.2819,2,ml,
hv73083202,2022-07-21T13:51:20.350Z,19.16583252,-155.4694977,2.45000005,md,48
hv73083197,2022-07-21T13:46:18.620Z,19.22316742,-155.4373322,2.05,ml,43
hv73083192,2022-07-21T13:46:11.120Z,19.47166634,-155.5995026,2.15,ml,8
ci40067263,2022-07-21T13:39:20.530Z,36.2228333,-118.3363333,1.9,ml,21
tx2022oeha,2022-07-21T13:35:58.110Z,31.68219248,-104.4202744,4.7,ml,12
nn00843325,2022-07-21T13:32:08.064Z,38.1599,-118.0099,1.3,ml,13
ci40067247,2022-07-21T13:28:41.190Z,35.884,-117.6841667,0.82,ml,10
ci40067239,2022-07-21T13:20:48.880Z,35.7031667,-117.5248333,1.15,ml,16
ci40067231,2022-07-21T12:48:48.600Z,36.1198333,-117.9018333,0.72,ml,7
ak0229a9zf02,2022-07-21T12:47:17.306Z,61.918,-147.4897,1.7,ml,
ak0229a9z8sz,2022-07-21T12:46:36.995Z,63.2323,-150.4211,1.6,ml,
ak0229a9yu0s,2022-07-21T12:44:45.402Z,58.2894,-154.9918,0.4,ml,
hv73083147,2022-07-21T12:44:40.470Z,18.86499977,-155.1985016,2.78,ml,27
hv73083142,2022-07-21T12:43:31.000Z,19.17533302,-155.3638306,1.74000001,md,32
nc73761246,2022-07-21T12:23:07.710Z,36.6629982,-121.3263321,1.24,md,8
hv73083137,2022-07-21T12:16:18.390Z,19.23666573,-155.3800049,2.32,ml,48
ci40067215,2022-07-21T12:15:13.340Z,33.7948333,-116.104,0.63,ml,10
pr71360523,2022-07-21T12:12:14.720Z,17.948,-66.9615,1.78,md,4
nn00843324,2022-07-21T11:30:14.942Z,38.1649,-117.9843,0.6,ml,8
nc73761241,2022-07-21T11:29:40.710Z,37.3163338,-121.6978302,1.93,md,26
hv73083082,2022-07-21T11:21:30.560Z,19.23233414,-155.3804932,2.0999999,md,46
ak0229a98fhm,2022-07-21T11:21:26.506Z,61.3895,-147.1449,1.8,ml,
hv73083077,2022-07-21T11:17:57.950Z,19.37533379,-155.4071655,2.4,ml,44
ak0229a96vrk,2022-07-21T11:14:04.328Z,62.4032,-149.4011,1.4,ml,
hv73083072,2022-07-21T11:11:45.500Z,19.15800095,-155.4624939,2.33,ml,47
hv73083067,2022-07-21T11:11:07.730Z,19.23116684,-155.3848267,2.18,ml,22
nn00843323,2022-07-21T11:09:01.350Z,38.6986,-116.0724,2.7,ml,10
ci40067207,2022-07-21T11:08:57.270Z,35.5066667,-118.3896667,1.11,ml,16
ak0229a8nego,2022-07-21T10:23:15.446Z,62.4945,-149.338,1.4,ml,
ak0229a8l1m6,2022-07-21T10:12:15.821Z,63.15,-149.346,1.3,ml,
ci40067199,2022-07-21T10:02:06.310Z,33.4101667,-116.3465,1.47,ml,46
nm60400777,2022-07-21T09:58:48.860Z,36.2196667,-89.4473333,1.45,md,8
ci40067191,2022-07-21T09:58:30.710Z,35.876,-117.7045,0.87,ml,13
ci40067183,2022-07-21T09:52:47.580Z,35.8751667,-117.7186667,1.93,ml,25
ci40067175,2022-07-21T09:52:38.940Z,35.8768333,-117.7233333,1.21,ml,19
