id,net,place
ak0228yrn198,ak,"66 km SE of King Salmon, Alaska"
ak0228ysp6ge,ak,"41 km NNW of Petersville, Alaska"
ak0228ysv4tf,ak,"47 km S of Cantwell, Alaska"
ak0228yt9xmq,ak,"Fox Islands, Aleutian Islands, Alaska"
ak0228ytq1oe,ak,"78 km SW of Nanwalek, Alaska"
ak0228ytuln0,ak,"25 km NE of Silver Springs, Alaska"
ak0228ytzz00,ak,"27 km SSW of Cantwell, Alaska"
ak0228yufr9s,ak,"28 km NW of Four Mile Road, Alaska"
ak0228yugdjp,ak,"41 km NW of Tatitlek, Alaska"
ak0228yv0b44,ak,"100 km SE of Chenega, Alaska"
ak0228yv3anm,ak,"18 km W of Manley Hot Springs, Alaska"
ak0228yv3keo,ak,Southern Alaska
ak0228yv5ql6,ak,"39 km ENE of Pedro Bay, Alaska"
ak0228yvi4az,ak,"14 km NW of Two Rivers, Alaska"
ak0228yvnvnd,ak,"62 km NNE of Petersville, Alaska"
ak0229061d0x,ak,"21 km S of Glacier View, Alaska"
ak022906rk4d,ak,"6 km SSE of Big Lake, Alaska"
ak0229078una,ak,"Rat Islands, Aleutian Islands, Alaska"
ak022907ddn4,ak,"95 km ESE of Nikolai, Alaska"
ak022907srwf,ak,"82 km SSW of Unalaska, Alaska"
ak022907vk3m,ak,"29 km NW of Beluga, Alaska"
ak022907vznk,ak,"2 km WNW of Point MacKenzie, Alaska"
ak022907y0sr,ak,"12 km ENE of Susitna, Alaska"
ak022908hwxe,ak,"18 km NNW of Meadow Lakes, Alaska"
ak022908kbdh,ak,"3 km NNW of Chickaloon, Alaska"
ak0229097s3r,ak,"36 km N of Petersville, Alaska"
ak022909iqjw,ak,"32 km WNW of Cantwell, Alaska"
ak02290af6o1,ak,"9 km SSW of Womens Bay, Alaska"
ak02290apg9f,ak,"48 km N of Valdez, Alaska"
ak02290awp25,ak,"48 km N of Petersville, Alaska"
ak02290bg7m2,ak,"Kenai Peninsula, Alaska"
ak02290ci7d2,ak,"76 km SSW of Manley Hot Springs, Alaska"
ak02290cj90f,ak,"21 km ENE of Cordova, Alaska"
ak02290ckgwd,ak,"69 km NE of Nikolai, Alaska"
ak02290cki13,ak,"66 km WNW of Ninilchik, Alaska"
ak02290cqrrj,ak,"5 km SSE of Kachemak, Alaska"
ak02290d3u35,ak,"56 km N of Chickaloon, Alaska"
ak02290d4a2v,ak,"25 km S of South Van Horn, Alaska"
ak02290d4hqx,ak,"74 km WNW of Ninilchik, Alaska"
ak02290dcjef,ak,"1 km NE of Healy, Alaska"
ak02290f59e6,ak,"44 km NW of Tatitlek, Alaska"
ak02290fpupd,ak,"32 km WSW of Denali Park, Alaska"
ak02290fpwj7,ak,"27 km SSE of Minto, Alaska"
ak02290g6l93,ak,"22 km S of Susitna North, Alaska"
ak02290g9np1,ak,"49 km E of Pedro Bay, Alaska"
ak02290gau71,ak,"27 km SSW of Karluk, Alaska"
ak02290hez3t,ak,"37 km E of Skwentna, Alaska"
ak02290hfek4,ak,"30 km SSW of South Van Horn, Alaska"
ak02290hkbqb,ak,"51 km ENE of Adak, Alaska"
ak02290hxkx9,ak,"Andreanof Islands, Aleutian Islands, Alaska"
ak02290i0n6s,ak,northern Alaska
ak02290iivn2,ak,"25 km S of Port Graham, Alaska"
ak02290ijazr,ak,"10 km W of Fishhook, Alaska"
ak02290ik49a,ak,"38 km WSW of Petersville, Alaska"
ak02290ile6o,ak,"93 km SE of Cordova, Alaska"
ak02290imptd,ak,"38 km WSW of Salcha, Alaska"
ak02290ipq1m,ak,"181 km S of Chenega, Alaska"
ak02290irf94,ak,"59 km WNW of Petersville, Alaska"
ak02290j3tsg,ak,"16 km N of Two Rivers, Alaska"
ak02290j7gql,ak,"14 km WNW of Point Possession, Alaska"
ak02291swvvc,ak,"27 km NW of Fishhook, Alaska"
ak02291t0rvz,ak,"3 km NNE of Big Lake, Alaska"
ak02291t415h,ak,"26 km NW of Petersville, Alaska"
ak02291tmts2,ak,"95 km S of McCarthy, Alaska"
ak02291ur428,ak,"48 km SW of Skwentna, Alaska"
ak02291ut23d,ak,"47 km SSE of Nelchina, Alaska"
ak02291uuyue,ak,"31 km SSE of Minto, Alaska"
ak02291uw90i,ak,"46 km SSW of Skwentna, Alaska"
ak02291v95aq,ak,"52 km E of Adak, Alaska"
ak02291v95bc,ak,"15 km SSW of Denali National Park, Alaska"
ak02291vezsp,ak,"18 km SSW of Denali National Park, Alaska"
ak02291vi4sc,ak,"24 km SSW of Anchorage, Alaska"
ak02291vy6xi,ak,"12 km NE of Chase, Alaska"
ak02291w23yg,ak,"65 km W of Happy Valley, Alaska"
ak02291w65vx,ak,"14 km ENE of Chase, Alaska"
ak02291wppkz,ak,"12 km SW of Hope, Alaska"
ak02291wr0k5,ak,"50 km SSE of Cantwell, Alaska"
ak02291xwqq9,ak,"20 km NE of Nikiski, Alaska"
ak02291ycgul,ak,"52 km ESE of Whittier, Alaska"
ak02291zhe3p,ak,"80 km SSW of Harding-Birch Lakes, Alaska"
ak02291zolyp,ak,"15 km NE of Susitna North, Alaska"
ak02291zp1gr,ak,Central Alaska
ak0229205r80,ak,"25 km WNW of Susitna, Alaska"
ak0229209scw,ak,"27 km NNW of Eureka Roadhouse, Alaska"
ak022920ai57,ak,"39 km SSW of South Van Horn, Alaska"
ak022922imfd,ak,"62 km NW of Beaver, Alaska"
ak022922k7bh,ak,"70 km NNE of Petersville, Alaska"
ak0229230hk5,ak,"96 km SE of Nikolai, Alaska"
ak022923piik,ak,"9 km NW of Tatitlek, Alaska"
ak022923qkez,ak,"29 km SSW of Dry Creek, Alaska"
ak022924erwi,ak,"54 km NNW of Petersville, Alaska"
ak022924itvj,ak,"65 km ENE of Pedro Bay, Alaska"
ak022924sddh,ak,"24 km NNW of Petersville, Alaska"
ak022924uvga,ak,"6 km SW of Susitna, Alaska"
ak022924vt11,ak,"28 km WNW of Happy Valley, Alaska"
ak022924y9d1,ak,"13 km SSW of Funny River, Alaska"
ak022924zdme,ak,"34 km SE of Denali National Park, Alaska"
ak0229254hil,ak,"60 km ENE of Pedro Bay, Alaska"
ak022925oa2e,ak,"9 km N of Cantwell, Alaska"
ak0229266j32,ak,"38 km SE of Denali National Park, Alaska"
ak022926b1b3,ak,"Rat Islands, Aleutian Islands, Alaska"
ak022926tkdw,ak,"23 km NW of Nikiski, Alaska"
ak022926x30o,ak,"5 km WSW of Elmendorf Air Force Base, Alaska"
ak02293gk58q,ak,"16 km ESE of Clam Gulch, Alaska"
ak02293gkqrj,ak,"46 km W of Cohoe, Alaska"
ak02293gp2ai,ak,"28 km W of Ester, Alaska"
ak02293hlom8,ak,"25 km SE of Chickaloon, Alaska"
ak02293ifhtt,ak,"15 km NE of Silver Springs, Alaska"
ak02293iigov,ak,"77 km ENE of Lime Village, Alaska"
ak02293jp3q6,ak,Southern Alaska
ak02293k4sed,ak,"28 km SE of Denali National Park, Alaska"
ak02293kc32h,ak,"68 km SSE of Hughes, Alaska"
ak02293m1rsf,ak,"25 km WNW of Karluk, Alaska"
ak02293mgimf,ak,"82 km NW of Aleneva, Alaska"
ak02293mgr7i,ak,"22 km WSW of Glacier View, Alaska"
ak02293nadgt,ak,"73 km WSW of Karluk, Alaska"
ak02293nsseu,ak,"60 km WSW of Anchor Point, Alaska"
ak02293nvdgj,ak,"21 km N of Four Mile Road, Alaska"
ak02293ogsha,ak,"55 km S of Denali National Park, Alaska"
ak02293ou0ua,ak,"143 km WNW of Yakutat, Alaska"
ak02293pgjf2,ak,Central Alaska
ak02293q4mym,ak,"24 km S of Manley Hot Springs, Alaska"
ak02293q6iwe,ak,"122 km E of Chignik, Alaska"
ak02293qkh9m,ak,"71 km N of Arctic Village, Alaska"
ak02293qquqr,ak,"19 km S of Tanacross, Alaska"
ak02293r87qd,ak,"40 km E of Pedro Bay, Alaska"
ak02293rx1xa,ak,"134 km WNW of Arctic Village, Alaska"
